web_scraper_order,web_scraper_start_url,data,price,data2,data3,data4,data5,data6,photo
"1789824643-3","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","CROISIPLAST TREILLAGE PLASTIQUE BLANC 1X3M","330,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/0/1/010723_mdf_1.jpg"
"1789824643-4","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PANNEAU DECORATIF CLASSIQUE","729,00 MAD","Voir produit","NORTENE","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/0/1/010691_mdf.jpg"
"1789824643-5","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PANNEAU DECORATIF CLASSIQUE","729,00 MAD","Voir produit","NORTENE","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/0/1/010690_mdf.jpg"
"1789824643-6","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PANNEAU DECORATIF PRIVAT","859,00 MAD","Voir produit","NORTENE","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/0/1/010688_mdf.jpg"
"1789824643-7","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PANNEAU DECORATIF PRIVAT","859,00 MAD","Voir produit","NORTENE","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/0/1/010687_mdf.jpg"
"1789824643-8","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","ROULEAU MOUSTIQUAIRE 1X3 VERT","145,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/0/1/010730.jpg"
"1789824643-9","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","BORDURE EN BOIS","109,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/0/100622_mdf.jpg"
"1789824643-10","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PANNEAU DECORATIF PRIVAT","999,00 MAD","Voir produit","NORTENE","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/0/103425_mdf.jpg"
"1789824643-11","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PANNEAU DECORATIF PRIVAT","999,00 MAD","Voir produit","NORTENE","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/0/103424_mdf.jpg"
"1789824643-12","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","GRILLAGE PANNEAU DIAM 5MM AVEC ACCESSOIRES","769,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/0/106992_mdf.jpg"
